,County_FIPS,X,bc,Region,ORIG_FID_1,carbonprice,biomassprice,climate_benefit_cumulative,climate_benefit_per_year,sgarea,Negative_emissions_cumulative,Negative_emissions_per_year,year,biomassproduction,zerocb,costpertonne
68,1033,1768,60 100,Appalachia,2,60,100,25548.07866,1880.045814,1062.915904,9872.442864,726.4986589,2050,273455.396,24839.40103,4.307004683
69,1033,1794,70 116,Appalachia,2,70,116,25838.89654,1905.140533,1077.10363,9984.822468,736.1959119,2050,276568.1827,24839.40103,7.007103639
70,1033,1820,80 133,Appalachia,2,80,133,26129.92023,1935.828152,1094.453398,10097.2816,748.0544067,2050,279683.1722,24839.40103,10.22468621
71,1033,1846,90 150,Appalachia,2,90,150,26406.57817,1960.623706,1108.471987,10204.18943,757.6360547,2050,282644.3971,24839.40103,13.8223563
72,1033,1872,100 166,Appalachia,2,100,166,26728.45694,1988.893843,1124.454989,10328.57177,768.5603715,2050,286089.6458,24839.40103,18.28961396
73,1033,1898,30 50,Appalachia,2,30,50,24728.22659,1807.489246,1021.894813,9555.630675,698.4609116,2050,264680.06,24839.40103,0
74,1033,1924,0 67,Appalachia,2,0,67,24839.40103,1818.105427,1027.896851,9598.591375,702.5632803,2050,265870.0224,24839.40103,0
75,1033,1950,40 67,Appalachia,2,40,67,24918.06145,1825.248085,1031.935075,9628.987809,705.3233894,2050,266711.9689,24839.40103,0.326765053
76,1033,1976,50 83,Appalachia,2,50,83,25225.65174,1853.078184,1047.669295,9747.848706,716.0776645,2050,270004.2801,24839.40103,1.981209999
77,1035,2002,60 100,Southeast,16,60,100,1285.919125,93.76345421,48.30917212,438.7752786,31.99352506,2050,12228.48145,1241.423903,6.084466007
78,1035,2028,70 116,Southeast,16,70,116,1296.235369,94.62352072,48.75229894,442.295339,32.28699291,2050,12326.58405,1241.423903,8.67475249
79,1035,2054,80 133,Southeast,16,80,133,1306.095412,95.71652266,49.31543965,445.6597366,32.6599419,2050,12420.34838,1241.423903,11.60912748
80,1035,2080,90 150,Southeast,16,90,150,1314.645476,96.44883072,49.69274226,448.5771492,32.90981661,2050,12501.65544,1241.423903,14.69076513
81,1035,2106,100 166,Southeast,16,100,166,1324.764382,97.30756134,50.1351808,452.0298747,33.20282864,2050,12597.88144,1241.423903,18.43694038
82,1035,2132,30 50,Southeast,16,30,50,1234.205265,89.37534116,46.04831142,421.1297185,30.49623376,2050,11736.70715,1241.423903,0
83,1035,2158,0 67,Southeast,16,0,67,1241.423903,90.04265947,46.39212976,423.5928284,30.72393297,2050,11805.35298,1241.423903,0
84,1035,2184,40 67,Southeast,16,40,67,1246.662659,90.49142271,46.6233433,425.3803721,30.87705786,2050,11855.17107,1241.423903,0.492618495
85,1035,2210,50 83,Southeast,16,50,83,1267.010863,92.28263271,47.5462175,432.3234904,31.48824611,2050,12048.67284,1241.423903,2.959237714
86,1039,2236,60 100,Southeast,16,60,100,6366.308211,479.4323189,251.2965977,2223.54402,167.4500873,2050,58193.33162,6091.011062,7.428604423
87,1039,2262,70 116,Southeast,16,70,116,6448.670631,486.9271362,255.2250398,2252.31053,170.0677828,2050,58946.19238,6091.011062,11.11577179
88,1039,2288,80 133,Southeast,16,80,133,6520.082357,495.1554867,259.5379665,2277.252319,172.9416775,2050,59598.95472,6091.011062,15.07329833
89,1039,2314,90 150,Southeast,16,90,150,6585.221352,501.4720268,262.8488093,2300.003247,175.1478391,2050,60194.3791,6091.011062,19.3386362
90,1039,2340,100 166,Southeast,16,100,166,6656.72111,508.3903911,266.475101,2324.975783,177.5641984,2050,60847.94612,6091.011062,24.33186839
